tau,f1,tp,fp,fn
0.00013269545532843365,0.1845574387947269,49,433,0
0.00013304332063049208,0.1849056603773585,49,432,0
0.0001353131481890083,0.18525519848771266,49,431,0
0.00013541928489728704,0.1856060606060606,49,430,0
0.00013552546070622347,0.18595825426944973,49,429,0
0.00013682852954215738,0.18666666666666665,49,427,0
0.00013693470535109382,0.18738049713193117,49,425,0
0.00013833067639984668,0.18882466281310212,49,421,0
0.0001384368522087831,0.18918918918918917,49,420,0
0.0001388163507728156,0.18992248062015507,49,418,0
0.000139739921044717,0.19140624999999997,49,414,0
0.00013984609685365344,0.19178082191780824,49,413,0
0.0001404867045452644,0.19215686274509805,49,412,0
0.00014111811392534707,0.1925343811394892,49,411,0
0.0001411626670562506,0.19291338582677167,49,410,0
0.00014878070497841738,0.19405940594059407,49,407,0
0.00014921305528716944,0.19444444444444445,49,406,0
0.00015016189943254792,0.19483101391650098,49,405,0
0.00015028561106426898,0.19521912350597612,49,404,0
0.00015135432590061002,0.19560878243512975,49,403,0
0.00015227830977739855,0.19599999999999998,49,402,0
0.0001529963816988464,0.19718309859154928,49,399,0
0.00015930139035047746,0.1975806451612903,49,398,0
0.00016011665204948282,0.19797979797979798,49,397,0
0.00016622119527841018,0.19838056680161945,49,396,0
0.00016792183971972062,0.19878296146044622,49,395,0
0.00017150359213983945,0.19918699186991873,49,394,0
0.00017332000287522824,0.19999999999999998,49,392,0
0.00017413526457423365,0.20081967213114754,49,390,0
0.0001752418974092202,0.20164609053497942,49,388,0
0.00017792425551170626,0.20206185567010312,49,387,0
0.0001793065772732064,0.2028985507246377,49,385,0
0.0001824623347406713,0.20374220374220373,49,383,0
0.00018453966854776395,0.20416666666666666,49,382,0
0.00018535493024676933,0.20459290187891443,49,381,0
0.00018633746636359562,0.20502092050209206,49,380,0
0.00018760659037135038,0.20545073375262055,49,379,0
0.000189175409182348,0.20985010706638116,49,369,0
0.0001911897695864057,0.2103004291845494,49,368,0
0.00019275876867167447,0.210752688172043,49,367,0
0.00019331728277776627,0.21120689655172412,49,366,0
0.0002024452984345256,0.2116630669546436,49,365,0
0.00020326056013353095,0.21212121212121215,49,364,0
0.00021113064081187342,0.21258134490238612,49,363,0
0.0002129428949931751,0.21304347826086956,49,362,0
0.00021368862983069705,0.21397379912663755,49,360,0
0.00021438556964721266,0.21444201312910285,49,359,0
0.00022899756471521197,0.21633554083885212,49,355,0
0.00023322480255186402,0.2168141592920354,49,354,0
0.00024032454674652757,0.2172949002217295,49,353,0
0.00025188733084096715,0.21777777777777776,49,352,0
0.000256364172503408,0.21875,49,350,0
0.0002576992584135628,0.21923937360178972,49,349,0
0.00026496153606507305,0.21973094170403587,49,348,0
0.0002762073155640338,0.22022471910112362,49,347,0
0.00028370942158680474,0.22072072072072071,49,346,0
0.0002937400352542996,0.22121896162528218,49,345,0
0.000293846211063236,0.2222222222222222,49,343,0
0.0002999298115984036,0.2227272727272727,49,342,0
0.00030289642981716025,0.22323462414578588,49,341,0
0.00031453626705703233,0.2237442922374429,49,340,0
0.00031978518816255086,0.2242562929061785,49,339,0
0.0003353218524093043,0.22477064220183485,49,338,0
0.00033574109545488144,0.2252873563218391,49,337,0
0.0003363853699937072,0.22119815668202764,48,337,1
0.00033639100916364343,0.22170900692840648,48,336,1
0.0003376254058142602,0.2222222222222222,48,335,1
0.0003478937714164073,0.22273781902552203,48,334,1
0.0003516598534364663,0.22325581395348837,48,333,1
0.0003519215310668486,0.22535211267605632,48,329,1
0.0003560874193350727,0.22588235294117648,48,328,1
0.00036160386592649273,0.22641509433962265,48,327,1
0.0003685838274102035,0.22748815165876776,48,325,1
0.0003769273809611774,0.22802850356294532,48,324,1
0.00038337572069067476,0.22857142857142856,48,323,1
0.00039511389298146015,0.22911694510739855,48,322,1
0.0003995831761201723,0.2302158273381295,48,320,1
0.0004002584050953366,0.23076923076923075,48,319,1
0.00040303939759958536,0.2313253012048193,48,318,1
0.0004031455734085219,0.2324455205811138,48,316,1
0.0004047959040358851,0.23300970873786406,48,315,1
0.000406005298533286,0.23357664233576644,48,314,1
0.00042472619011905315,0.23414634146341465,48,313,1
0.0004358511996327348,0.23471882640586794,48,312,1
0.00046114890453135675,0.23529411764705882,48,311,1
0.0004618433740693456,0.237037037037037,48,308,1
0.00046425939794200564,0.23762376237623759,48,307,1
0.00046922940186973556,0.23821339950372208,48,306,1
0.00047779271476283615,0.2394014962593516,48,304,1
0.00048641643205606794,0.24000000000000002,48,303,1
0.0004950839396238269,0.24181360201511334,48,300,1
0.00049544759431708,0.24242424242424246,48,299,1
0.0005252101305301826,0.2430379746835443,48,298,1
0.0005448412318111959,0.24427480916030536,48,296,1
0.0005457063688470332,0.24489795918367346,48,295,1
0.0005483670896817193,0.24552429667519182,48,294,1
0.0005574137682756632,0.24615384615384617,48,293,1
0.0005589378560461971,0.24678663239074553,48,292,1
0.0005810139744847178,0.24742268041237114,48,291,1
0.0005833906065266088,0.24806201550387597,48,290,1
0.000594192193938803,0.24870466321243523,48,289,1
0.0005948563562797459,0.24935064935064932,48,288,1
0.000602301235772451,0.25000000000000006,48,287,1
0.0006054594155432018,0.2506527415143603,48,286,1
0.0006100296899937941,0.25130890052356014,48,285,1
0.0006224431361090946,0.25196850393700787,48,284,1
0.0006270491942054861,0.25263157894736843,48,283,1
0.0006331538421644503,0.25329815303430075,48,282,1
0.0006333492086317749,0.25396825396825395,48,281,1
0.0006423029346710468,0.2546419098143236,48,280,1
0.0006726590013418178,0.25531914893617025,48,279,1
0.0006741080067726514,0.256,48,278,1
0.0007018771594231083,0.25668449197860965,48,277,1
0.0007033217032319163,0.25737265415549593,48,276,1
0.0007081668805546105,0.25806451612903225,48,275,1
0.0007121314910796585,0.2587601078167116,48,274,1
0.0007122300124147365,0.2594594594594594,48,273,1
0.0007142946015990986,0.2601626016260163,48,272,1
0.0007309987902117203,0.26086956521739124,48,271,1
0.0007422808149538121,0.2615803814713897,48,270,1
0.0007688573710964058,0.26229508196721313,48,269,1
0.0007778464061216002,0.263013698630137,48,268,1
0.0007838040719788576,0.2637362637362637,48,267,1
0.000798332482272648,0.2644628099173553,48,266,1
0.0008128204002937329,0.26519337016574585,48,265,1
0.000822484087040348,0.2659279778393352,48,264,1
0.0008506865315936804,0.26666666666666666,48,263,1
0.0008794977952981536,0.26740947075208915,48,262,1
0.0008836952132675046,0.2681564245810056,48,261,1
0.000884473514916568,0.2689075630252101,48,260,1
0.0008915444121214079,0.26966292134831454,48,259,1
0.0008979818007636268,0.2704225352112676,48,258,1
0.0009063971501314029,0.2711864406779661,48,257,1
0.0009074781623328393,0.27195467422096314,48,256,1
0.0009090587201597672,0.27272727272727276,48,255,1
0.0009092798896495251,0.27350427350427353,48,254,1
0.00091335846611991,0.2742857142857143,48,253,1
0.0009222330519778695,0.27507163323782235,48,252,1
0.0009261710389017479,0.27586206896551724,48,251,1
0.0009294339478188605,0.27665706051873196,48,250,1
0.0009297541766236639,0.2782608695652174,48,248,1
0.0009298430260239305,0.2790697674418605,48,247,1
0.0009344769121291177,0.27988338192419826,48,246,1
0.0009345830488373965,0.28070175438596495,48,245,1
0.0009419441889989142,0.281524926686217,48,244,1
0.000967369090574039,0.2823529411764706,48,243,1
0.0009683101516621324,0.2831858407079646,48,242,1
0.0009696534632916792,0.2840236686390532,48,241,1
0.000986049474694771,0.2848664688427299,48,240,1
0.0009870263395484473,0.28571428571428575,48,239,1
0.0009913106539065869,0.28656716417910444,48,238,1
